#,Section,Box ID,Tree Cover within 100M
1,E,E40,29461
2,E,E62,28166
3,E,E65,24605
4,E,E71,12545
5,E,E84,15257
6,E,E93,20518
7,E,E4,30918
8,E,E7,15985
9,E,E22,26709
10,E,E23,28652
11,S,S20,20882
12,S,S34,18899
13,S,S7,16106
14,S,S11,27559
15,S,S46,23957
16,S,S38,23917
17,S,S40,24767
18,S,S14,28207
19,S,S48,26507
20,S,S44,27478
21,N,N86,9065
22,N,N93,3642
23,N,N96,3845
24,N,N2,12060
25,N,N73,22581
26,N,N47,25374
27,N,N58,24888
28,N,N62,15540
29,N,N68,14569
30,N,N70,13436