#,Section,Box ID,Min,Max,Mode
1,E,E40,<0.46,<0.6,<0.46
2,E,E62,<0.3,>1.2,<0.3
3,E,E65,<0.3,>1.2,<0.3
4,E,E71,<0.3,>1.2,<0.6
5,E,E84,<0.3,>1.2,<0.6
6,E,E93,<0.6,>1.2,<0.6
7,E,E4,<0.3,<0.6,<0.6
8,E,E7,>1.5,>1.5,>1.5
9,E,E22,<0.6,<0.9,<0.6
10,E,E23,0,0,0
11,S,S20,>0.9,>0.9,>0.9
12,S,S34,>0.9,>0.9,>0.9
13,S,S7,<0.15,<0.46,<0.46
14,S,S11,>0.6,>0.6,>0.6
15,S,S46,>2,>2,>2
16,S,S38,<0.46,<0.6,<0.6
17,S,S40,0,<0.3,<0.3
18,S,S14,<0.3,<0.6,<0.6
19,S,S48,<0.15,<0.15,<0.15
20,S,S44,<0.46,<1.07,<0.9
21,N,N86,>3,>4.5,>3
22,N,N93,>3,>4.5,>3
23,N,N96,>3,>4.5,>3
24,N,N2,>3,>4.5,>3
25,N,N73,<1.5,>4.5,>1.5
26,N,N47,<1.5,>4.5,>1.5
27,N,N58,<0.15,<0.46,<0.15
28,N,N62,<0.15,>0.9,<0.15
29,N,N68,<0.15,>0.9,<0.46
30,N,N70,<0.15,>0.9,<0.46